,Country/Division,RepoName,Language,Contributors
0,argob,accesibilidad-web,HTML,3
1,argob,api-gateway-php,PHP,1
2,argob,AR-Distro,PHP,10
3,argob,barra-de-accesibilidad,PHP,1
4,argob,cofra,PHP,3
5,argob,drupar,Makefile,1
6,argob,drupar_areas,PHP,0
7,argob,drupar_cck,PHP,0
8,argob,drupar_componentes,PHP,0
9,argob,drupar_inicio,PHP,0
10,argob,drupar_multimedia,PHP,0
11,argob,drupar_noticias,PHP,0
12,argob,drupar_poncho,CSS,0
13,argob,drupar_usuarios,PHP,0
14,argob,drupar_vistas,PHP,0
15,argob,elk-bi,Shell,4
16,argob,estandares,HTML,11
17,argob,foro-laravel-id,PHP,1
18,argob,Gaucho,CSS,1
19,argob,georef-php,PHP,1
20,argob,iconos,HTML,5
21,argob,mi-argentina,CSS,2
22,argob,mi-argentina-laravel,PHP,1
23,argob,poncho,CSS,7
24,argob,poncho-android,Java,1
25,argob,poncho-ios,Objective-C,1
26,argob,presidencia-manual-de-marca,,1
27,cifasis,afl-fuzz,C,3
28,cifasis,bug-report-scripts,Python,2
29,cifasis,certificate,Haskell,2
30,cifasis,curso-herramientas,Python,2
31,cifasis,dataset-processing,Python,0
32,cifasis,dense-sptam,C++,3
33,cifasis,distributed-sptam,C++,1
34,cifasis,ghc-cm,Haskell,383
35,cifasis,haddock,HTML,92
36,cifasis,hmm,Haskell,4
37,cifasis,hogg,Haskell,4
38,cifasis,honggfuzz,C,6
39,cifasis,hs-asn1-encoding,Haskell,2
40,cifasis,hs-certificate-x509,Haskell,2
41,cifasis,Juicy.Pixels,Haskell,19
42,cifasis,language-javascript,Haskell,12
43,cifasis,ManFuzzer,Python,1
44,cifasis,megadeth,Haskell,3
45,cifasis,modelicacc,C++,7
46,cifasis,neural-fuzzer,Python,2
47,cifasis,nosy-newt,Python,2
48,cifasis,OS-fuzzing,Python,2
49,cifasis,powerdevs,,1
50,cifasis,pylearn2,Python,112
51,cifasis,QF-explorer,Python,2
52,cifasis,qss-solver,Shell,2
53,cifasis,qss-solver-engine,C,2
54,cifasis,qss-solver-gui,C++,1
55,cifasis,qss-solver-mmoc,C++,1
56,cifasis,qss-solver-models,C,1
57,cifasis,qss-solver-packages,Python,1
58,cifasis,qss-solver-test-suite,C,1
59,cifasis,qss-solver-user-libs,Python,1
60,cifasis,QuickFuzz,Haskell,15
61,cifasis,radamsa,Scheme,2
62,cifasis,sbml-mmo,C++,1
63,cifasis,splitting_gan,Python,0
64,cifasis,spp_estimation,Python,1
65,cifasis,sptam,C++,0
66,cifasis,tar,Haskell,10
67,cifasis,Theano,,92
68,cifasis,ttasm,Haskell,3
69,cifasis,VDiscover,Python,2
70,cifasis,vdiscover-workshop,Python,1
71,cifasis,wavy,Haskell,2
72,cifasis,word2vec,C,5
73,cifasis,yjsvg_haskell,Haskell,1
74,cifasis,zzuf,C,3
75,gcba,acoso-callejero,JavaScript,1
76,gcba,analisisMovilidadVehicular,Python,2
77,gcba,api-standards,,1
78,gcba,api_sensores,Python,1
79,gcba,apmov,CSS,4
80,gcba,BAApps,,0
81,gcba,BADistro,PHP,8
82,gcba,BAFICI,JavaScript,3
